Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс,TDP,SLI/NVLink/CrossFire
"Видеокарта AFOX GeForce RTX 3070 8GB (AF3070-8192D6H4), Retail",44089,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,256 бит,1725 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,220 Вт,
Видеокарта ASUS GeForce GTX 1650 4 ГБ (NV GTX 1650),27699,,игровая,,4096 МБ,GDDR6,,128 бит,1410 МГц,,PCI Express 3.0,,,7680x4320,,12 нм,,
"Видеокарта ASUS TUF Gaming GeForce RTX 3090 Ti OC Edition 24GB (TUF-RTX3090TI-O24G-GAMING), Retail",117700,Retail,игровая,необходимость дополнительного питания,24576 МБ,GDDR6X,21000 МГц,384 бит,1950 МГц,"выход DisplayPort x 3, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",16 pin,7680x4320,4,,,поддержка NVLink
"Видеокарта GIGABYTE GeForce RTX 3070 Gaming OC 8G (GV-N3070GAMING OC-8GD) (rev. 2.0), Retail",55700,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192 МБ,GDDR6,14000 МГц,256 бит,1815 МГц,"выход DisplayPort, выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,8 нм,220 Вт,
"Видеокарта ASUS AREZ Radeon RX 560 O4G OC Edition (AREZ-RX560-O4G-EVO), Retail",8700,Retail,игровая,,4096 МБ,GDDR5,6000 МГц,128 бит,1149 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,5120x2880,3,14 нм,,
Видеокарта Gigabyte RX7900XTX ELITE 24GB GDDR6 384-bit (GV-R79XTXAORUS E-24GD),113289,,игровая,,24000 МБ,GDDR6,20000 МГц,384 бит,2680 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,,8 pin+8 pin+8 pin,7680x4320,4,5 нм,335 Вт,
"Видеокарта MSI GeForce GT 1030 AERO ITX 2G OC, Retail",8642,Retail,,,2048 МБ,GDDR5,6008 МГц,64 бит,1265 МГц,"выход DVI, выход HDMI",PCI Express 3.0,,,4096x2160,2,14 нм,30 Вт,
"Видеокарта ASUS DUAL GeForce GTX 1650 4096MB (DUAL-GTX1650-4G), Retail",18281,Retail,игровая,,4096 МБ,GDDR5,8002 МГц,128 бит,1485 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",,7680x4320,3,12 нм,,
ASUS GT730-SL-2GD5-BRK видеокарты GPU графическая карта NEW GT 730 2GB,10024,,,,2048 МБ,GDDR5,5010 МГц,64 бит,,выход VGA,PCI Express 2.0,,,,,,,
"Видеокарта MicroStar MSI NX8600GS-TD256E OEM, 256MB DDR2 128bit DVI TV-out PCI-E",700₽,,,,,,,,,,,,,,,,,
"Видеокарта ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge 8GB LHR (ZT-A30610E-10MLHR), Retail",54080,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,256 бит,1665 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,200 Вт,
"Видеокарта PNY Tesla T4 16GB (TCST4MATX-PB), Retail",146163,Retail,,,16384 МБ,GDDR6,10000 МГц,256 бит,585 МГц,,PCI Express 3.0,,,,не поддерживается,12 нм,70 Вт,
"Видеокарта MSI GeForce GT 730 2 GB (N730-2GD3V2), Retail",4255,Retail,игровая,,2048 МБ,GDDR3,1800 МГц,128 бит,700 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",,4096x2160,2,40 нм,49 Вт,
Видеокарта GIGABYTE Radeon HD 4550 600Mhz PCI-E 2.0 1024Mb 1600Mhz 64 bit DVI HDMI HDCP,1521,,,,,,,,,,,,,,,,,
"Видеокарта GIGABYTE GeForce RTX 4070 Ti AORUS ELITE 12G (GV-N407TAORUS E-12GD), Retail",95140,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6X,21000 МГц,192 бит,2655 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP",16 pin,7680x4320,4,5 нм,285 Вт,
"Видеокарта Colorful iGame GeForce RTX 3070 Ti Ultra W OC 8G-V, Retail",62700,Retail,игровая,пассивное охлаждение,8192 МБ,GDDR6X,,256 бит,1575 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,310 Вт,
Видеокарта Palit GeForce GT 430 700Mhz PCI-E 2.0 1024Mb 1600Mhz 128 bit DVI HDMI HDCP,1648,,,,1024 МБ,GDDR3,1600 МГц,,700 МГц,выход HDMI,,,,,,,,
"Видеокарта GIGABYTE GeForce RTX 3090 GAMING OC 24G (GV-N3090GAMING OC-24GD), Retail",104000,Retail,игровая,,24576 МБ,GDDR6X,19500 МГц,384 бит,1755 МГц,"выход DisplayPort x 3, выход HDMI x 2",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,350 Вт,
"Видеокарта ASUS TUF Gaming GeForce RTX 3080 OC Edition 12GB LHR (TUF-RTX3080-O12G-GAMING), Retail",103500,Retail,игровая,Low Hash Rate,12288 МБ,GDDR6X,,320 бит,1815 МГц,"выход DisplayPort x 3, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,350 Вт,
"Видеокарта GIGABYTE AORUS Radeon RX 6700 XT ELITE 12GB (GV-R67XTAORUS E-12GD), Retail",42875,Retail,игровая,,12288 МБ,GDDR6,,192 бит,,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,,8 pin + 6 pin,7680x4320,4,7 нм,230 Вт,
"Видеокарта Gainward GeForce RTX 3080 Ti 12 ГБ (gainward 3080 Ti XG OC), rev. 2.0 (LHR)",61800,,игровая,,12288 МБ,GDDR6X,19000 МГц,384 бит,1665 МГц,выход HDMI,PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,,,,
Видеокарта Palit GeForce GT 240 512Mb,1170,,,,512 МБ,GDDR3,1580 МГц,,550 МГц,,,,,,,,,
"Видеокарта ASUS Phoenix GeForce GTX 1660 SUPER 6GB, PH-GTX1660S-6G, Retail",19999,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14002 МГц,192 бит,1530 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12 нм,125 Вт,
Видеокарта Palit PCI-E 4.0 PA-RTX3060Ti DUAL 8G V1 LHR NVIDIA GeForce RTX 3060Ti 8192Mb 256 GDDR6 1410/14000 HDMIx1 DPx3 HDCP Ret,32990,,,,8192 МБ,GDDR6,14000 МГц,,1410 МГц,выход HDMI,PCI Express 4.0,,,,,,,
"Видеокарта MSI GeForce GTX 1650 D6 VENTUS XS OC 4GB, Retail",17506,Retail,игровая,,4096 МБ,GDDR6,12000 МГц,128 бит,1620 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,6 pin,7680x4320,3,12 нм,75 Вт,
"Видеокарта Palit GeForce RTX 4070 Ti GAMING PRO 12GB (NED407T019K9-1043A), Retail",93990,,игровая,,,GDDR6X,,192 бит,2310 МГц,выход DisplayPort x 3,PCI Express 4.0,,16 pin,7680x4320,,5 нм,,
MSI GeForce RTX 3060 Gaming Z Trio 12G,42700,Retail,игровая,Low Hash Rate,12288 МБ,GDDR6,15000 МГц,192 бит,1852 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,220 Вт,поддержка SLI/CrossFire
"Видеокарта AFOX GeForce GT 740 4GB (AF740-4096D5H3), Retail",8452,Retail,,,4096 МБ,GDDR5,,128 бит,993 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",,4096x2160,2,28 нм,,
"Видеокарта AFOX GeForce GTX 1650 (AF1650-4096D6H3-V3), Retail",16399,Retail,,,4096 МБ,GDDR6,12000 МГц,128 бит,1410 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",,4096x2160,3,12 нм,,
"Видеокарта Colorful GeForce RTX 3060 NB DUO 12G V2 L-V, Retail",33400,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,15000 МГц,192 бит,1320 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,170 Вт,
"Видеокарта ASUS GeForce GT 710 Silent LP 2GB (GT710-SL-2GD5), Retail",5990,Retail,игровая,,2048 МБ,GDDR5,5012 МГц,64 бит,954 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,2560x1600,3,28 нм,19 Вт,
"Видеокарта ASUS DUAL GeForce RTX 3060 Ti V2 MINI OC (DUAL-RTX3060TI-O8G-MINI-V2), Retail",46061,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1680 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,,8 pin,7680x4320,4,8 нм,200 Вт,
Видеокарта Palit GeForce GT 610 810Mhz PCI-E 2.0 1024Mb 1070Mhz 64 bit DVI HDMI HDCP,1521,,,,1024 МБ,GDDR3,1070 МГц,,810 МГц,выход HDMI,,,,,,,,
"Видеокарта INNO3D GeForce RTX 3070 TWIN X2 LHR 8Gb (N30702-08D6-171032LH), Retail",63859,Retail,игровая,,8192 МБ,GDDR6,,256 бит,1683 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin,7680x4320,4,8 нм,220 Вт,
"Видеокарта MSI GeForce GTX 1660 SUPER AERO ITX OC 6GB, Retail",25144,Retail,игровая,,6144 МБ,GDDR6,14000 МГц,192 бит,1815 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,3,12 нм,125 Вт,
"Видеокарта Gigabyte GV-NX96T512H, OEM GF9600GT, 1 GB, TV-out, Dual DVI PCI-E",1900,,,,,,,,,,,,,,,,,
"Видеокарта Sinotex Ninja GeForce GT1030 4GB (NK103FG44F), Retail",7400,Retail,игровая,низкопрофильная карта (Low Profile),4096 МБ,GDDR4,2100 МГц,64 бит,1152 МГц,"выход DVI, выход HDMI",PCI Express 3.0,поддержка CUDA,,4096x2160,2,16 нм,30 Вт,
Видеокарта RTX 3090 Palit Гейм Рок,86999,Retail,игровая,необходимость дополнительного питания,24576 МБ,GDDR6X,19500 МГц,384 бит,1395 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,8 нм,420 Вт,поддержка SLI/CrossFire
"Видеокарта Palit GeForce RTX 4070 Ti GameRock Classic OC 12GB (NED407TH19K9-1046G), Retail",100459,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6X,21000 МГц,192 бит,2760 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,5 нм,285 Вт,
Видеокарта Palit GeForce GTS 450 GDDR5 1GB,4375,,,,1024 МБ,GDDR5,3608 МГц,128 бит,783 МГц,выход DVI,PCI Express 2.0,,6 pin,2560x1600,2,40 нм,,поддержка SLI/CrossFire
"Видеокарта AFOX GeForce GT 710 2GB (AF710-2048D3L7), Retail",5385,Retail,игровая,,2048 МБ,GDDR3,1600 МГц,64 бит,954 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,4096x2160,3,28 нм,19 Вт,
"Видеокарта MSI GeForce GTX 1650 VENTUS XS 4G, Retail",18309,Retail,игровая,,4096 МБ,GDDR5,8000 МГц,128 бит,1665 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,7680x4320,3,12 нм,75 Вт,
Видеокарта Ninja RTX2060 6GB 192bit GDDR6 (NF206FG66F),21990,,игровая,,6144 МБ,GDDR6,14000 МГц,192 бит,1680 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,NVIDIA CUDA,8 pin,7680x4320,3,12 нм,,
"Видеокарта Palit GeForce GT 710 2GB (NEAT7100HD46-2080F), Retail",4784,Retail,,,2048 МБ,GDDR3,1600 МГц,64 бит,954 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,2560x1600,2,28 нм,19 Вт,
Видеокарта GIGABYTE GeForce GTX 1080 1784Mhz PCI-E 3.0 8192Mb 10400Mhz 256 bit DVI 3xHDMI HDCP Xtreme Gaming,20790,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR5X,10400 МГц,256 бит,1784 МГц,"выход DVI, выход DisplayPort, выход DisplayPort x 3, выход HDMI x 3",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin + 8 pin,7680x4320,4,16 нм,180 Вт,поддержка SLI/CrossFire
"Видеокарта Palit GeForce RTX 3070 Ti GameRock 8GB (NED307T019P2-1047G), Retail",80000,Retail,игровая,,8192 МБ,GDDR6X,19000 МГц,256 бит,1575 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin + 8 pin,7680x4320,4,8 нм,330 Вт,
"Видеокарта Biostar Radeon RX 6900 XT 16GB (VA69T6AMP2), Retail",73651,Retail,,,16384 МБ,GDDR6,,256 бит,1825 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,,,4,7 нм,,
Видеокарта Sapphire Radeon HD 5750 700Mhz PCI-E 2.1 1024Mb 4600Mhz 128 bit 2xDVI HDMI HDCP,2380,,,,,,,,,,,,,,,,,
"Видеокарта AFOX GeForce GT 1030 4GB (AF1030-4096D4H5), Retail",7690,Retail,игровая,,4096 МБ,GDDR3,1333 МГц,64 бит,1152 МГц,"выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",,4096x2160,2,16 нм,30 Вт,
"Видеокарта ASUS Dual GeForce RTX 3060 V2 12GB (DUAL-RTX3060-12G-V2), Retail",35550,Retail,игровая,,12288 МБ,GDDR6,15000 МГц,192 бит,1777 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,,8 pin,7680x4320,4,8 нм,,
Видеокарта GeForce RTX 3090 PALIT GamingPro 24GB GDDR6X,84990,OEM,,,24576 МБ,GDDR6X,,,,"выход DisplayPort, выход HDMI",PCI Express 4.0,,,7680x4320,,,,
"Видеокарта Palit GeForce GTX 1660 Dual 6GB (NE51660018J9-1161C), Bulk",31576,Bulk,игровая,необходимость дополнительного питания,6144 МБ,GDDR5,8000 МГц,192 бит,1530 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12 нм,120 Вт,
Видеокарта Ninja GT240 PCIE (96SP) 1G 128BIT DDR3 (DVI/HDMI/CRT),2790,,,,,DDR3,1333 МГц,128 бит,550 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,,,2560x1600,3,,,
"Видеокарта ZOTAC GAMING GeForce GTX 1650 OC GDDR6 (ZT-T16520F-10L), Retail",14999,Retail,игровая,,4096 МБ,GDDR6,12000 МГц,128 бит,1620 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,7680x4320,3,12 нм,75 Вт,
ASUS GeForce 9600 GT,1540,,,,,GDDR3,,,,выход VGA,,,,,,,,
"Видеокарта AFOX GeForce GTX 750 4GB (AF750-4096D5L4-V2), Retail",8364,Retail,игровая,,4096 МБ,GDDR5,5000 МГц,128 бит,1020 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",,2560x1600,3,28 нм,,
"Видеокарта БУ Sapphire AMD Radeon RX 570, 11266-36-20G PULSE RX 570 8G OC, 8ГБ, GDDR5, Ret",7900,Retail,,,8192 МБ,GDDR5,,,,,,,,,,,,
"Видеокарта ASUS TUF Gaming GeForce RTX 3060 V2 12GB (TUF-RTX3060-12G-V2-GAMING), Retail",45595,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,15000 МГц,192 бит,1320 МГц,"выход DisplayPort x 3, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,200 Вт,
"Видеокарта ASUS DUAL GeForce GTX 1650 MINI OC 4GB, DUAL-GTX1650-O4GD6-MINI, Retail",16990,Retail,игровая,,4096 МБ,GDDR6,12000 МГц,128 бит,1410 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",,7680x4320,3,12 нм,75 Вт,
"Видеокарта Biostar Radeon RX 6700 XT 12Gb (VA67T6TML9), Retail",38710,Retail,,необходимость дополнительного питания,12288 МБ,GDDR6,16000 МГц,192 бит,2321 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin + 8 pin,7680x4320,4,7 нм,,
Видеокарта Ninja GT710 2GB 64bit DDR3 DVI HDMI CRT PCIE,3890,,игровая,низкопрофильная карта (Low Profile),2048 МБ,DDR3,,64 бит,954 МГц,,PCI Express 3.0,поддержка CUDA,,,,,,
