Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс,TDP,SLI/NVLink/CrossFire
"Видеокарта GIGABYTE GeForce RTX 3060 GAMING OC 12G (GV-N3060GAMING OC-12GD) (rev. 2.0), Retail",39900,Retail,игровая,Low Hash Rate,12288 МБ,GDDR6,15000 МГц,192 бит,1837 МГц,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,170 Вт,
"Видеокарта ASUS TUF Gaming GeForce RTX 3090 OC 24GB (TUF-RTX3090-O24G-GAMING), Retail",106500,Retail,игровая,необходимость дополнительного питания,24576 МБ,GDDR6X,19500 МГц,384 бит,1740 МГц,"выход DisplayPort x 3, выход HDMI, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,350 Вт,поддержка NVLink
"Видеокарта ASUS TUF Gaming GeForce GTX 1650 OC 4 GB (TUF-GTX1650-O4GD6-P-GAMING), Retail",15051,Retail,,,4096 МБ,GDDR6,12000 МГц,128 бит,1755 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,6 pin,7680x4320,3,12 нм,,
"Видеокарта GIGABYTE GeForce RTX 3050 GAMING OC 8G, GV-N3050GAMING OC-8GD, Retail",28088,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,128 бит,1552 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,130 Вт,
Видеокарта БУ AMD SAPPHIRE PULSE RADEON RX580 8G OC Lite 8192MB 256BIT GDDR5 2xHDMI 2xDP (Гарантия 6 мес),9900,OEM,игровая,необходимость дополнительного питания,8192 МБ,GDDR5,8000 МГц,256 бит,1350 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,,,5120x2880,4,14 нм,225 Вт,
"Видеокарта MSI GeForce RTX 3060 Ti GAMING X 8G LHR, Retail",43500,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1770 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,,8 pin + 6 pin,7680x4320,4,8 нм,220 Вт,
"Видеокарта MSI Radeon RX 6650 XT MECH 2X 8G OC, Retail",38580,Retail,игровая,необходимость дополнительного питания,8000 МБ,GDDR6,17500 МГц,128 бит,2447 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,7 нм,175 Вт,
"Видеокарта MSI GeForce RTX 3060 VENTUS 2X 12G OC LHR, Retail",36000,Retail,игровая,,12288 МБ,GDDR6,15000 МГц,192 бит,1807 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,,8 pin,7680x4320,4,8 нм,170 Вт,
"Видеокарта MSI GeForce GTX 1660 SUPER VENTUS XS OC 6GB, Retail",20600,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14000 МГц,192 бит,1815 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,12 нм,125 Вт,
"Видеокарта GIGABYTE GeForce RTX 3060 WINDFORCE OC 12GB, GV-N3060WF2OC-12GD, Retail",30963,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288 МБ,GDDR6,15000 МГц,192 бит,1792 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,,
