Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс
Видеокарта Gainward RTX3070Ti PHANTOM 8GB GDDR6X 256bit 3-DP HDMI RTL,56980,Retail,игровая,нет,8000.0,GDDR6X,19000.0,256.0,1575.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,NVIDIA CUDA,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта Gainward GeForce RTX 3070 Phantom+ 8GB (NE63070019P2-1040M), Retail",52650,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,256.0,1500.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE GeForce RTX 3060 Ti GAMING OC 8G (GV-N306TGAMING OC-8GD 2.0) (rev. 2.0), Retail",89990,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192.0,GDDR6,14000.0,256.0,1740.0,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта Asus tuf-rtx4090-O24G-gaming /RTX4090, HDMI*2, DP*3,24G, D6X (90YV0IE0-M0NA00)",183476,Retail,игровая,нет,24576.0,GDDR6X,21000.0,384.0,2595.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, выход HDMI x 2",PCI Express 4.0,нет,16 pin,7680x4320,4,4.0
"Видеокарта ASUS TUF Gaming GeForce RTX 3070 Ti OC Edition 8GB (TUF-RTX3070TI-O8G-GAMING), Retail",82369,Retail,игровая,нет,8192.0,GDDR6X,19000.0,256.0,1785.0,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce RTX 3060 Ti VENTUS 3X 8G OC LHR, Retail",43077,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192.0,GDDR6,14000.0,256.0,1410.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce RTX 3070 VENTUS 3X 8G OC LHR, Retail",109900,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1755.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта Sapphire NITRO+ Radeon RX 6800 XT SE 16GB (11304-01-20G), Retail",68500,Retail,игровая,нет,16384.0,GDDR6,16000.0,256.0,2110.0,"выход DisplayPort x 2, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,7.0
"Видеокарта MSI Radeon RX 6700 XT MECH 2X 12G, Retail",45290,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,1920.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,7.0
Видеокарта Ninja GT210 512M 64bit DDR3 DVI HDMI CRT PCIE,1990,Retail,игровая,низкопрофильная карта (Low Profile),512.0,GDDR3,1600.0,64.0,650.0,"выход DVI, выход HDMI",PCI Express 2.0,нет,8 pin,2560x1600,3,47.5
Видеокарта GTX 1660 Gigabyte OC 6G,20500,Retail,игровая,нет,6144.0,GDDR5,14000.0,192.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
"Видеокарта ASUS Phoenix GeForce GTX 1650 OC 4GB (PH-GTX1650-O4G), Retail",17350,Retail,игровая,нет,4096.0,GDDR5,8002.0,128.0,1485.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,7680x4320,3,12.0
Видеокарта ZOTAC GeForce RTX 2060 6 ГБ (RTX2060-6GD6),20800,Retail,игровая,нет,6000.0,GDDR6,14000.0,192.0,1365.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта MSI GeForce RTX 3060 Ti AERO ITX 8G OC LHR,37044,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
Видеокарта Gigabyte RX480-8GB,10999,OEM,игровая,нет,8192.0,GDDR5,14000.0,256.0,1665.0,выход DisplayPort x 3,PCI Express 3.0,нет,8 pin,7680x4320,2,8.0
"Видеокарта MSI GeForce RTX 4090 VENTUS 3X 24G OC, Retail",162577,Retail,игровая,нет,24576.0,GDDR6X,21000.0,384.0,2235.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,16 pin,7680x4320,4,5.0
"Видеокарта ASUS GeForce RTX 3070 8192Mb, Dual 8G-V2 LHR (Dual-RTX3070-8G-V2) 2xHDMI, 3xDP, Ret",47660,Retail,игровая,Low Hash Rate,8192.0,GDDR6,14000.0,256.0,1725.0,"выход DisplayPort x 3, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта AFOX GeForce 210 1 GB (AF210-1024D3L5), Retail",2908,Retail,игровая,нет,1024.0,GDDR3,1040.0,64.0,450.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,нет,8 pin,2560x1600,2,40.0
Видеокарта 8 Gb MSI GeForce RTX 3070 VENTUS 3X 8G OC LHR,158000,Retail,игровая,Low Hash Rate,8192.0,GDDR6,14000.0,256.0,1500.0,"выход DisplayPort, выход HDMI x 3",PCI Express 4.0,"поддержка CUDA, поддержка HDCP",8 pin + 8 pin,7680x4320,2,8.0
"Видеокарта PowerColor Radeon R9 270X 1030Mhz PCI-E 3.0 2048Mb 5600Mhz 256 bit 2xDVI HDMI HDCP TurboDuo, Ресейл",7485,Retail,игровая,нет,2048.0,GDDR5,5600.0,256.0,1030.0,выход HDMI,PCI Express 3.0,нет,6 pin + 6 pin,4096x2160,4,28.0
"Видеокарта AFOX Radeon R5 230 1GB (AFR5230-1024D3L9-V2), Retail",2690,Retail,игровая,нет,1024.0,GDDR3,1333.0,64.0,625.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,2560x1600,2,40.0
"Видеокарта PNY Quadro RTX 8000 48GB (VCQRTX8000STU-PB), Retail",585764,Retail,профессиональная,нет,49152.0,GDDR6,14000.0,384.0,1395.0,"выход DisplayPort x 4, интерфейс USB Type-C",PCI Express 3.0,нет,8 pin + 6 pin,7680x4320,4,12.0
"Видеокарта PowerColor Hellhound Spectral White Radeon RX 6650 XT 8GB (AXRX 6650 XT 8GBD6-3DHLV2/OC), Retail",31749,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,17500.0,128.0,2689.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,8.0
Видеокарта ASUS 24 ГБ (ROG Strix GeForce RTX 4090 OC Edition 24GB GDDR6X),278080,Retail,игровая,"внешняя видеокарта, пассивное охлаждение",24576.0,GDDR6X,2640.0,384.0,2282.5,"выход DisplayPort, выход HDMI, выход HDMI x 2",PCI Express 4.0,нет,8 pin,7680x4320,4,5.0
"Видеокарта MSI GeForce RTX 4090 GAMING X TRIO 24G, Retail",183891,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6X,21000.0,384.0,2595.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
"Видеокарта AFOX Radeon RX 550 2 GB (AFRX550-2048D5H4-V6), Retail",6890,Retail,игровая,нет,2048.0,GDDR5,6000.0,128.0,1183.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,8 pin,3840x2160,3,14.0
"Видеокарта ASUS GeForce RTX3060 Ti LHR 8 Gb (DUAL-RTX3060TI-8G-MINI-V2), Retail",43500,Retail,игровая,Low Hash Rate,8192.0,GDDR6,14000.0,256.0,1695.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin,7680x4320,4,8.0
Видеокарта 6 Gb EVGA GeForce RTX 2060 SC (06G-P4-2062-KR),27340,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1365.0,выход HDMI,PCI Express 3.0,нет,8 pin,7680x4320,4,12.0
"Видеокарта HP GeForce RTX 3080 10 ГБ (HP RTX 3080), rev. 1.0",45500,Retail,игровая,необходимость дополнительного питания,10240.0,GDDR6X,19000.0,320.0,1710.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,2,8.0
Видеокарта Palit RTX3060 STORMX 8GB GDDR6 128bit 3-DP HDMI,29516,Retail,игровая,нет,8192.0,GDDR6,15000.0,192.0,1320.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,4,8.0
"Видеокарта Palit GeForce RTX 3080 GameRock 10GB (NED3080U19IA-1020G), Retail",89964,Retail,игровая,нет,10240.0,GDDR6X,19000.0,320.0,1440.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce RTX 4070 Ti SUPRIM 12G, Retail",96490,Retail,игровая,нет,12288.0,GDDR6X,21000.0,192.0,2310.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,5.0
"Видеокарта Colorful iGame GeForce RTX 3060 Ti Ultra W OC G6X V2-V (RTX 3060 Ti Ultra W OC G6X V2-V), Retail",52175,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6X,19000.0,256.0,1410.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта Sapphire PULSE Radeon RX 6500 XT 4Gb, 11314-01-20G, Retail",18200,Retail,игровая,необходимость дополнительного питания,4096.0,GDDR6,18000.0,64.0,2825.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",6 pin,7680x4320,2,6.0
"Видеокарта Sinotex Ninja GeForce GT740 4GB (NF74NP045F), Retail",6761,Retail,игровая,нет,4096.0,GDDR5,5000.0,128.0,993.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,4096x2160,3,28.0
Видеокарта 8Gb GDDR5 Sapphire RADEON RX 580 Б/У,12800,Retail,игровая,нет,8000.0,GDDR5,14000.0,256.0,1728.5,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,нет,8 pin,5120x2880,2,8.0
"Видеокарта AMD Radeon Pro W5700 (100-506085), Retail",109990,Retail,профессиональная,необходимость дополнительного питания,8192.0,GDDR6,14000.0,1024.0,1665.0,"выход Mini DisplayPort x 5, интерфейс USB Type-C",PCI Express 4.0,поддержка Vulkan,8 pin + 6 pin,7680x4320,6,7.0
Видеокарта INNO3D RTX3060Ti GDDR6X ICHILL X4 8GB GDDR6X 256-bit DPx3 HDMI 1695MHz/19Gbps VA35R GA104,51154,Retail,игровая,нет,8192.0,GDDR6X,19000.0,256.0,1410.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
Видеокарта PCI-e nVidia GeForce GTX 550Ti 1Gb GDDR5 192bit,3380,OEM,игровая,нет,1024.0,GDDR5,1333.0,192.0,755.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 2.1,нет,8 pin,4096x2160,2,40.0
"Видеокарта MSI GeForce RTX 4090 SUPRIM X 24G, Retail",192500,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",24576.0,GDDR6X,21000.0,384.0,2235.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",16 pin,7680x4320,4,5.0
Видеокарта Sapphire NITRO+ AMD Radeon RX 570 8G DUAL,9490,OEM,игровая,необходимость дополнительного питания,8192.0,GDDR5,14000.0,256.0,1168.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin + 6 pin,5120x2880,5,14.0
Видеокарта Gigabyte GeForce RTX 3060 GAMING OC LHR 12G (N3060GAMING OC-12GD 2.0),48480,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,1920.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,2,8.0
"Видеокарта GIGABYTE AORUS Radeon RX 6900 XT Xtreme Waterforce WB 16G (GV-R69XTAORUSX WB-16GD), Retail",57396,Retail,игровая,"водяное охлаждение, необходимость дополнительного питания, пассивное охлаждение",16384.0,GDDR6,16000.0,256.0,2375.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,7.0
"Видеокарта GIGABYTE GeForce GTX 1650 D6 OC Low Profile 4G (GV-N1656OC-4GL), Retail",21956,Retail,игровая,низкопрофильная карта (Low Profile),4096.0,GDDR6,12000.0,128.0,1620.0,"выход DVI, выход DisplayPort, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,12.0
Видеокарта ZOTAC GAMING GeForce RTX 3080 Trinity OC 10GB (ZT-A30800K-10PLHR) Белая,70000,Retail,игровая,нет,10240.0,GDDR6X,19000.0,320.0,1755.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта NVIDIA GeForce RTX 3070M Laptop 8G (rev. 1.0/1.1), OEM",40900,OEM,игровая,"внешняя видеокарта, необходимость дополнительного питания",8192.0,GDDR6,3600.0,256.0,1450.0,"выход DisplayPort, выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,3840x2160,2,8.0
"Видеокарта ASUS Phoenix Radeon 550 2GB (PH-550-2G), Retail",7790,Retail,игровая,нет,2048.0,GDDR5,6000.0,64.0,1183.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,14.0
Видеокарта MSI Radeon RX 5700 8GT OEM,20700,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,выход DisplayPort x 3,PCI Express 4.0,нет,8 pin,4096x2160,2,8.0
"Видеокарта XFX SPEEDSTER QICK 319 AMD Radeon RX 6700 XT 12GB (RX-67XTYPBDP), Retail",49990,Retail,игровая,нет,12288.0,GDDR6,2000.0,192.0,2457.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,7.0
Видеокарта KFA2 nVidia GeForce RTX 4090 HOF PCI-E 24576Mb GDDR6X 384 Bit Retail 49NXM5MD6PHK,200000,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6X,21000.0,384.0,2610.0,выход HDMI,PCI Express 4.0,поддержка HDCP,16 pin,7680x4320,4,5.0
Видеокарта KFA2 nVidia GeForce RTX 4090 HOF PCI-E 24576Mb GDDR6X 384 Bit Retail 49NXM5MD6PHK,200000,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6X,21000.0,384.0,2610.0,выход HDMI,PCI Express 4.0,поддержка HDCP,16 pin,7680x4320,4,5.0
"Видеокарта Palit GeForce RTX 4090 GameRock 24GB (NED4090019SB-1020G), Retail",164900,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6X,21000.0,384.0,2235.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
"Видеокарта AFOX Radeon RX 570 8Гб (AFRX570-8192D5H3-V2), Retail",12190,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR5,7000.0,256.0,1284.0,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,поддержка HDCP,8 pin,3840x2160,5,14.0
"Видеокарта GIGABYTE GeForce GTX 1650 D6 OC 4G (GV-N1656OC-4GD) rev. 2.0, Retail",14829,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1635.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,6 pin,7680x4320,3,12.0
"Видеокарта ASUS DUAL Radeon RX 6700 XT OC Edition 12GB (DUAL-RX6700XT-O12G), Retail",42290,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,16000.0,192.0,2474.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,7.0
